"","ticker","tradeDate","clsPx","hiPx","loPx","open","stockVolume","unadjClsPx","unadjHiPx","unadjLoPx","unadjOpen","unadjStockVolume","updatedAt"
"4184","SPX",2022-08-17,4274.04,4302.18,4253.08,4280.4,0,4274.04,4302.18,4253.08,4280.4,0,"2022-08-18T23:31:55Z"
"4185","SPX",2022-08-18,4283.74,4292.53,4261.98,4273.13,0,4283.74,4292.53,4261.98,4273.13,0,"2022-08-19T23:29:24Z"
"4186","SPX",2022-08-19,4228.48,4266.31,4218.7,4266.31,0,4228.48,4266.31,4218.7,4266.31,0,"2022-08-19T23:29:24Z"
"4187","SPX",2022-08-22,4137.99,4195.08,4129.86,4195.08,0,4137.99,4195.08,4129.86,4195.08,0,"2022-08-23T23:32:14Z"
"4188","SPX",2022-08-23,4128.73,4159.77,4124.03,4133.09,0,4128.73,4159.77,4124.03,4133.09,0,"2022-08-24T23:30:59Z"
"4189","SPX",2022-08-24,4140.77,4156.56,4119.97,4126.55,0,4140.77,4156.56,4119.97,4126.55,0,"2022-08-25T23:29:16Z"
"4190","SPX",2022-08-25,4199.12,4200.54,4148.06,4153.26,0,4199.12,4200.54,4148.06,4153.26,0,"2022-08-26T23:29:53Z"
"4191","SPX",2022-08-26,4057.66,4203.04,4057.66,4198.74,0,4057.66,4203.04,4057.66,4198.74,0,"2022-08-26T23:29:53Z"
"4192","SPX",2022-08-29,4030.61,4062.99,4017.42,4034.58,0,4030.61,4062.99,4017.42,4034.58,0,"2022-08-30T23:28:48Z"
"4193","SPX",2022-08-30,3986.16,4044.98,3965.21,4041.25,0,3986.16,4044.98,3965.21,4041.25,0,"2022-08-31T23:27:50Z"
"4194","SPX",2022-08-31,3955,4015.37,3954.53,4000.67,0,3955,4015.37,3954.53,4000.67,0,"2022-08-31T23:27:50Z"
"4195","SPX",2022-09-01,3966.85,3969.13,3903.71,3936.73,0,3966.85,3969.13,3903.71,3936.73,0,"2022-09-02T23:29:23Z"
"4196","SPX",2022-09-02,3924.26,4018.43,3906.21,3994.66,0,3924.26,4018.43,3906.21,3994.66,0,"2022-09-02T23:29:23Z"
"4197","SPX",2022-09-06,3908.19,3942.55,3886.75,3930.89,0,3908.19,3942.55,3886.75,3930.89,0,"2022-09-07T23:31:32Z"
"4198","SPX",2022-09-07,3979.87,3987.89,3906.13,3909.43,0,3979.87,3987.89,3906.13,3909.43,0,"2022-09-08T23:28:16Z"
"4199","SPX",2022-09-08,4006.18,4010.5,3944.81,3959.94,0,4006.18,4010.5,3944.81,3959.94,0,"2022-09-09T23:27:18Z"
"4200","SPX",2022-09-09,4067.36,4076.81,4022.94,4022.94,0,4067.36,4076.81,4022.94,4022.94,0,"2022-09-09T23:27:18Z"
"4201","SPX",2022-09-12,4110.41,4119.28,4083.67,4083.67,0,4110.41,4119.28,4083.67,4083.67,0,"2022-09-13T23:25:25Z"
"4202","SPX",2022-09-13,3932.69,4037.12,3921.28,4037.12,0,3932.69,4037.12,3921.28,4037.12,0,"2022-09-14T23:26:31Z"
"4203","SPX",2022-09-14,3946.01,3961.44,3912.18,3940.73,0,3946.01,3961.44,3912.18,3940.73,0,"2022-09-15T23:27:57Z"
"4204","SPX",2022-09-15,3901.35,3958.81,3888.28,3932.41,0,3901.35,3958.81,3888.28,3932.41,0,"2022-09-16T23:27:48Z"
"4205","SPX",2022-09-16,3873.33,3880.95,3837.08,3880.95,0,3873.33,3880.95,3837.08,3880.95,0,"2022-09-16T23:27:48Z"
"4206","SPX",2022-09-19,3899.89,3900.45,3838.88,3849.91,0,3899.89,3900.45,3838.88,3849.91,0,"2022-09-20T23:28:26Z"
"4207","SPX",2022-09-20,3855.93,3876.01,3827.54,3875.23,0,3855.93,3876.01,3827.54,3875.23,0,"2022-09-21T23:30:06Z"
"4208","SPX",2022-09-21,3789.93,3907.07,3789.49,3871.4,0,3789.93,3907.07,3789.49,3871.4,0,"2022-09-22T23:28:10Z"
"4209","SPX",2022-09-22,3757.99,3789.77,3749.45,3782.36,0,3757.99,3789.77,3749.45,3782.36,0,"2022-09-23T23:27:09Z"
"4210","SPX",2022-09-23,3693.23,3727.14,3647.47,3727.14,0,3693.23,3727.14,3647.47,3727.14,0,"2022-09-23T23:27:09Z"
"4211","SPX",2022-09-26,3655.04,3715.67,3644.76,3682.72,0,3655.04,3715.67,3644.76,3682.72,0,"2022-09-27T23:26:30Z"
"4212","SPX",2022-09-27,3647.29,3717.53,3623.29,3686.44,0,3647.29,3717.53,3623.29,3686.44,0,"2022-09-28T23:26:46Z"
"4213","SPX",2022-09-28,3719.04,3736.74,3641.21,3651.94,0,3719.04,3736.74,3641.21,3651.94,0,"2022-09-29T23:29:41Z"
"4214","SPX",2022-09-29,3640.47,3687.01,3610.4,3687.01,0,3640.47,3687.01,3610.4,3687.01,0,"2022-09-30T23:27:15Z"
"4215","SPX",2022-09-30,3585.62,3671.44,3584.13,3633.48,0,3585.62,3671.44,3584.13,3633.48,0,"2022-09-30T23:27:15Z"
"4216","SPX",2022-10-03,3678.43,3698.35,3604.93,3609.78,0,3678.43,3698.35,3604.93,3609.78,0,"2022-10-04T23:26:35Z"
"4217","SPX",2022-10-04,3790.93,3791.92,3726.46,3726.46,0,3790.93,3791.92,3726.46,3726.46,0,"2022-10-05T23:26:29Z"
"4218","SPX",2022-10-05,3783.28,3806.91,3722.66,3753.25,0,3783.28,3806.91,3722.66,3753.25,0,"2022-10-06T23:26:45Z"
"4219","SPX",2022-10-06,3744.52,3797.5,3739.22,3771.97,0,3744.52,3797.5,3739.22,3771.97,0,"2022-10-07T23:25:39Z"
"4220","SPX",2022-10-07,3639.66,3706.74,3620.73,3706.74,0,3639.66,3706.74,3620.73,3706.74,0,"2022-10-07T23:25:39Z"
